Tên Cảng,Mã Cảng,Mô Tả,Trạng Thái,Dữ Liệu Hình Học (WKT)
Cang Vicoship,HPG_VICOSHIP,Khu vuc cang va kho bai cua Vicoship,Active,"POLYGON ((106.7200227470044 20.862947794533795, 106.7210511730421 20.86402717163925, 106.72266833572593 20.86288512078636, 106.72393855393597 20.864167769310427, 106.72388198140305 20.864411548702193, 106.72238514594761 20.865642740953206, 106.7200227470044 20.862947794533795))"
Cum Cang Nam Hai - Doan Xa,HPG_NH_DX,Khu vuc hop nhat giua Cang Nam Hai va Doan Xa (Lien ke),Active,"POLYGON ((106.71355766268147 20.868169641591948, 106.71354883645932 20.86819784856992, 106.71439917108557 20.867329379337548, 106.71582256303594 20.86567387146041, 106.7188336137832 20.868558925922102, 106.71659422093074 20.87108039132856, 106.71355766268147 20.868169641591948))"
Tan Vu Port,HPG_TV,Cảng Tân Vũ - Hải Phòng,Active,"POLYGON ((106.77092304815102 20.802436469451962, 106.79132231551779 20.777841983095698, 106.79433198075924 20.77721650870774, 106.8315648042801 20.778466870590535, 106.83368269701771 20.780238759618626, 106.83568905983867 20.782844393448485, 106.83580036312031 20.78659634938448, 106.83022792545069 20.80483409086017, 106.82242433660298 20.80545935453813, 106.79611629317492 20.804677391914986, 106.77928404878358 20.804598763943208, 106.77092304815102 20.802436469451962))"
Lach Huyen Port,HPG_LH,Cảng quốc tế Lạch Huyện,Active,"POLYGON ((106.91392823050393 20.779393025386355, 106.91906991034858 20.782510997986478, 106.9062854233531 20.80297182351255, 106.9045339590283 20.80173939473329, 106.90426618129237 20.802142020199398, 106.9052432235851 20.803426462950085, 106.90446116730675 20.805069570148007, 106.90370819656908 20.806142246639226, 106.90169975918735 20.807063624087434, 106.89766998132131 20.805699567253754, 106.89843426114993 20.80355622691137, 106.89940696760908 20.802062380751252, 106.89794551599493 20.801258015645374, 106.89783931196419 20.801004343547973, 106.8988237090278 20.79926544909145, 106.89912956092414 20.79868504945418, 106.89916620130514 20.79859673583229, 106.89969119432604 20.798769994553865, 106.900045058071 20.798091786278228, 106.89969290229294 20.79784841017289, 106.89704459493305 20.796507381204307, 106.9012053404391 20.790084092626515, 106.90322829414237 20.793358881970363, 106.91087106107005 20.780952139910028, 106.91233016019754 20.782056416435395, 106.91392823050393 20.779393025386355))"
Duong tinh 356 (Cat Hai),DT_356_CH,Tuyen duong noi bo khu cong nghiep va cang HICT - Doan luon song Cat Hai,Active,"POLYGON ((106.8447733383491 20.794074345164116, 106.90381474643762 20.794074345164116, 106.90381474643762 20.80632731416758, 106.8447733383491 20.80632731416758, 106.8447733383491 20.794074345164116))"
Duong tinh 356 (Dinh Vu),DT_356_DV,Truc duong noi bo khu vuc Dinh Vu - Chay dọc cac Depot,Active,"POLYGON ((106.80527079416144 20.81539708531437, 106.80818847656538 20.81539708531437, 106.80818847656538 20.82471593834966, 106.80527079416144 20.82471593834966, 106.80527079416144 20.81539708531437))"
Cang Dinh Vu,HPG_DVU,Cang Chinh khu vuc Dinh Vu - Hai Phong,Active,"POLYGON ((106.82643449497425 20.816334518537374, 106.8286258859419 20.822624270887317, 106.8202533560426 20.828036327099596, 106.80835966870808 20.828328865138914, 106.79850042789138 20.828913939513853, 106.78770224231044 20.83278998646273, 106.76430641178877 20.846610967757584, 106.76336748907141 20.846099099050036, 106.75937709260091 20.843101018831334, 106.77635623050503 20.831473688334412, 106.78778001113585 20.823575230467327, 106.78957971382403 20.82152738763601, 106.79184890417167 20.81743161846856, 106.79607429309402 20.815968816786423, 106.80436857505009 20.816115097593084, 106.82205261016759 20.815676254746165, 106.82643449497425 20.816334518537374))"
HaHungHai Depot,DEP_HHH,Bai tap ket container HaHungHai,Active,"POLYGON ((106.73553779210926 20.853556732441504, 106.73732602356114 20.851403112631473, 106.73757788851782 20.85127365935479, 106.73974392713836 20.852073914189234, 106.74062545448328 20.851709092660172, 106.74203589823657 20.854192215258493, 106.74145661857119 20.854474657518168, 106.7374015927818 20.856169273711245, 106.7372882535517 20.855922143371956, 106.73697342235755 20.855816230245267, 106.73553779210926 20.853556732441504))"
Total Gas Hai Phong,GAS_TOTAL_HP,Tram chiet nap va kho chua Total Gas - Khu vuc Dinh Vu,Active,"POLYGON ((106.73055058617348 20.855711822459753, 106.73399687024613 20.852344462198502, 106.73705558928287 20.855907596727278, 106.7321113679181 20.85824707949736, 106.73060296139971 20.85669069124583, 106.73060296139971 20.856514495335574, 106.73098006302928 20.856103370738964, 106.73055058617348 20.855711822459753))"
G-Fortune Depot,DEP_G_FORTUNE,Bai tap ket vo container G-Fortune - Khu vuc Dinh Vu,Active,"POLYGON ((106.73185645738192 20.858224008750128, 106.73177729544221 20.858575178444326, 106.72501423008669 20.863425831444488, 106.724608837998 20.86319484874103, 106.72377827859731 20.862492659145374, 106.72457917516186 20.862215478138324, 106.72349153785092 20.860885002192404, 106.72569647515627 20.85936047779974, 106.72698186470734 20.85840880104989, 106.72810905246496 20.85818705026273, 106.72905826321016 20.8576511511761, 106.73059084305646 20.856708703323108, 106.73185645738192 20.858224008750128))"
