ID_Xe,Tên_Cảng,Thời_Điểm_Vào,Thời_Điểm_Ra,Tổng_Giây_Chờ,Lượng_CO2_kg
15H-123.45,Tan Vu Port,2026-04-15 12:13:34,2026-04-15 12:23:39,605,0.992
15H-777.77 (AUTO_TEST),Duong tinh 356 (Dinh Vu),2026-04-15 12:18:13,2026-04-15 12:28:18,605.0,0.992
15H-777.77 (AUTO_TEST),Duong tinh 356 (Dinh Vu),2026-04-15 12:18:38,2026-04-15 12:28:43,605.0,0.992
15H-001.AI,Tan Vu Port,2026-04-26 10:00:00,2026-04-26 03:51:20,-22119.1,-41.2121
15H-001.AI,Tan Vu Port,2026-04-26 03:41:11,2026-04-26 03:52:01,650.0,1.2111
15H-001.AI,Tan Vu Port,2026-04-26 10:59:13,2026-04-26 11:10:08,654.1,1.2187
15H-001.AI,Lach Huyen Port,2026-04-29 00:02:35,2026-04-29 00:02:35,720.0,1.3415
15H-001.AI,Lach Huyen Port,2026-04-29 00:02:36,2026-04-29 00:02:36,720.0,1.3415
15H-001.AI,Lach Huyen Port,2026-04-29 00:07:05,2026-04-29 00:07:05,650.0,1.2111
15H-001.AI,Tan Vu Port,2026-04-29 00:09:38,2026-04-29 00:09:38,720.0,1.3415
15H-001.AI,Lach Huyen Port,2026-04-29 00:10:21,2026-04-29 00:10:21,720.0,1.3415
15H-001.AI,Tan Vu Port,2026-04-29 00:19:02,2026-04-29 00:19:02,720.0,1.3415
15H-001.AI,Tan Vu Port,2026-04-29 00:21:25,2026-04-29 00:21:25,720.0,1.3415
15H-001.AI,Tan Vu Port,2026-04-29 00:28:36,2026-04-29 00:28:36,720.0,1.3415
15H-001.AI,Tan Vu Port,2026-04-29 00:31:55,2026-04-29 00:31:55,720.0,1.3415
15H-001.AI,Tan Vu Port,2026-04-29 14:02:46,2026-04-29 14:02:46,2.0,0.0037
15H-001.AI,Tan Vu Port,2026-04-29 14:02:56,2026-04-29 14:02:56,8.0,0.0149
15H-001.AI,Tan Vu Port,2026-04-29 14:03:09,2026-04-29 14:03:09,8.0,0.0149
15H-001.AI,Tan Vu Port,2026-04-29 14:13:05,2026-04-29 14:13:05,81.0,0.1509
15H-001.AI,Tan Vu Port,2026-04-29 14:18:38,2026-04-29 14:18:38,41.0,0.0764
15H-001.AI,Tan Vu Port,2026-04-29 14:38:41,2026-04-29 14:38:41,106.0,0.1975
15H-001.AI,Tan Vu Port,2026-04-29 15:01:46,2026-04-29 15:01:46,38.0,0.0708
15H-001.AI,Tan Vu Port,2026-04-29 15:17:10,2026-04-29 15:17:10,229.0,0.4267
